,dep,semaine,pop,P,T,Ti,Tp,Td,cl_age90
3425,975,2020-S51,"5997,00","0,00","14,00","0,00","0,00","233,45",0
3426,975,2020-S52,"5997,00","0,00","20,00","0,00","0,00","333,50",0
3427,977,2020-S49,"9961,00","11,00","435,00","110,43","2,53","4367,03",0
3428,977,2020-S50,"9961,00","2,00","364,00","20,08","0,55","3654,25",0
3429,977,2020-S51,"9961,00","9,00","617,00","90,35","1,46","6194,16",0
3430,977,2020-S52,"9961,00","6,00","389,00","60,23","1,54","3905,23",0
3431,1,2020-S53,"656955,00","1021,00","13501,00","155,41","7,56","2055,09",0
3432,1,2021-S01,"656955,00","1398,00","14511,00","212,80","9,63","2208,83",0
3433,1,2021-S02,"656955,00","1282,00","13683,00","195,14","9,37","2082,79",0
3434,1,2021-S03,"656955,00","1437,00","14327,00","218,74","10,03","2180,82",0
3435,1,2021-S04,"656955,00","1556,00","16969,00","236,85","9,17","2582,98",0
3436,2,2020-S53,"526050,00","895,00","11794,00","170,14","7,59","2241,99",0
3437,2,2021-S01,"526050,00","955,00","13243,00","181,54","7,21","2517,44",0
3438,2,2021-S02,"526050,00","1092,00","13459,00","207,58","8,11","2558,50",0
3439,2,2021-S03,"526050,00","1265,00","14319,00","240,47","8,83","2721,98",0
3440,2,2021-S04,"526050,00","1297,00","15447,00","246,55","8,40","2936,41",0
3441,3,2020-S53,"331315,00","735,00","9163,00","221,84","8,02","2765,65",0
3442,3,2021-S01,"331315,00","827,00","10041,00","249,61","8,24","3030,65",0
3443,3,2021-S02,"331315,00","688,00","9062,00","207,66","7,59","2735,16",0
3444,3,2021-S03,"331315,00","695,00","8293,00","209,77","8,38","2503,06",0
3445,3,2021-S04,"331315,00","588,00","8640,00","177,47","6,81","2607,79",0
3446,4,2020-S53,"165197,00","343,00","4035,00","207,63","8,50","2442,54",0
3447,4,2021-S01,"165197,00","320,00","4917,00","193,71","6,51","2976,45",0
3448,4,2021-S02,"165197,00","308,00","4457,00","186,44","6,91","2697,99",0
3449,4,2021-S03,"165197,00","378,00","5490,00","228,82","6,89","3323,30",0
3450,4,2021-S04,"165197,00","390,00","5970,00","236,08","6,53","3613,87",0
3451,5,2020-S53,"141756,00","405,00","4002,00","285,70","10,12","2823,16",0
3452,5,2021-S01,"141756,00","388,00","4262,00","273,71","9,10","3006,57",0
3453,5,2021-S02,"141756,00","361,00","4407,00","254,66","8,19","3108,86",0
3454,5,2021-S03,"141756,00","343,00","4707,00","241,97","7,29","3320,49",0
3455,5,2021-S04,"141756,00","284,00","4129,00","200,34","6,88","2912,75",0
3456,6,2020-S53,"1079396,00","3585,00","47456,00","332,13","7,55","4396,53",0
3457,6,2021-S01,"1079396,00","4668,00","52012,00","432,46","8,97","4818,62",0
3458,6,2021-S02,"1079396,00","4375,00","53160,00","405,32","8,23","4924,98",0
3459,6,2021-S03,"1079396,00","4522,00","52452,00","418,94","8,62","4859,38",0
3460,6,2021-S04,"1079396,00","4553,00","53455,00","421,81","8,52","4952,31",0
3461,7,2020-S53,"326875,00","506,00","7487,00","154,80","6,76","2290,48",0
3462,7,2021-S01,"326875,00","657,00","7742,00","200,99","8,49","2368,49",0
3463,7,2021-S02,"326875,00","735,00","7617,00","224,86","9,65","2330,25",0
3464,7,2021-S03,"326875,00","844,00","7957,00","258,20","10,61","2434,26",0
3465,7,2021-S04,"326875,00","820,00","9118,00","250,86","8,99","2789,45",0
3466,8,2020-S53,"265531,00","744,00","10271,00","280,19","7,24","3868,10",0
3467,8,2021-S01,"265531,00","739,00","10288,00","278,31","7,18","3874,50",0
3468,8,2021-S02,"265531,00","583,00","8105,00","219,56","7,19","3052,37",0
3469,8,2021-S03,"265531,00","577,00","7663,00","217,30","7,53","2885,92",0
3470,8,2021-S04,"265531,00","444,00","7379,00","167,21","6,02","2778,96",0
3471,9,2020-S53,"152398,00","201,00","3291,00","131,89","6,11","2159,48",0
3472,9,2021-S01,"152398,00","318,00","4778,00","208,66","6,66","3135,21",0
3473,9,2021-S02,"152398,00","232,00","4375,00","152,23","5,30","2870,77",0
3474,9,2021-S03,"152398,00","295,00","4736,00","193,57","6,23","3107,65",0
3475,9,2021-S04,"152398,00","280,00","5242,00","183,73","5,34","3439,68",0
3476,10,2020-S53,"309907,00","514,00","7935,00","165,86","6,48","2560,45",0
3477,10,2021-S01,"309907,00","560,00","8661,00","180,70","6,47","2794,71",0
3478,10,2021-S02,"309907,00","459,00","8081,00","148,11","5,68","2607,56",0
3479,10,2021-S03,"309907,00","502,00","8252,00","161,98","6,08","2662,73",0
3480,10,2021-S04,"309907,00","560,00","9021,00","180,70","6,21","2910,87",0
3481,11,2020-S53,"372705,00","491,00","9615,00","131,74","5,11","2579,79",0
3482,11,2021-S01,"372705,00","636,00","11661,00","170,64","5,45","3128,75",0
3483,11,2021-S02,"372705,00","606,00","12059,00","162,60","5,03","3235,53",0
3484,11,2021-S03,"372705,00","679,00","12426,00","182,18","5,46","3334,00",0
3485,11,2021-S04,"372705,00","768,00","13889,00","206,06","5,53","3726,54",0
3486,12,2020-S53,"278360,00","238,00","6200,00","85,50","3,84","2227,33",0
3487,12,2021-S01,"278360,00","310,00","7766,00","111,37","3,99","2789,91",0
3488,12,2021-S02,"278360,00","385,00","7374,00","138,31","5,22","2649,09",0
3489,12,2021-S03,"278360,00","419,00","7750,00","150,52","5,41","2784,16",0
3490,12,2021-S04,"278360,00","368,00","7573,00","132,20","4,86","2720,58",0
3491,13,2020-S53,"2034469,00","4002,00","75147,00","196,71","5,33","3693,69",0
3492,13,2021-S01,"2034469,00","4974,00","86245,00","244,49","5,77","4239,19",0
3493,13,2021-S02,"2034469,00","5867,00","92478,00","288,38","6,34","4545,56",0
3494,13,2021-S03,"2034469,00","7134,00","99160,00","350,66","7,19","4874,00",0
3495,13,2021-S04,"2034469,00","7010,00","106233,00","344,56","6,60","5221,66",0
3496,14,2020-S53,"691453,00","790,00","19078,00","114,25","4,14","2759,12",0
3497,14,2021-S01,"691453,00","1046,00","20779,00","151,28","5,03","3005,12",0
3498,14,2021-S02,"691453,00","846,00","19872,00","122,35","4,26","2873,95",0
3499,14,2021-S03,"691453,00","855,00","17418,00","123,65","4,91","2519,04",0
3500,14,2021-S04,"691453,00","818,00","18480,00","118,30","4,43","2672,63",0
3501,15,2020-S53,"142811,00","148,00","3157,00","103,63","4,69","2210,61",0
3502,15,2021-S01,"142811,00","200,00","4477,00","140,05","4,47","3134,91",0
3503,15,2021-S02,"142811,00","191,00","4923,00","133,74","3,88","3447,21",0
3504,15,2021-S03,"142811,00","238,00","4090,00","166,65","5,82","2863,93",0
3505,15,2021-S04,"142811,00","295,00","4847,00","206,57","6,09","3394,00",0
3506,16,2020-S53,"348180,00","255,00","6266,00","73,24","4,07","1799,64",0
3507,16,2021-S01,"348180,00","318,00","7439,00","91,33","4,27","2136,54",0
3508,16,2021-S02,"348180,00","430,00","6737,00","123,50","6,38","1934,92",0
3509,16,2021-S03,"348180,00","458,00","7295,00","131,54","6,28","2095,18",0
3510,16,2021-S04,"348180,00","469,00","7956,00","134,70","5,89","2285,02",0
3511,17,2020-S53,"647080,00","388,00","14736,00","59,96","2,63","2277,31",0
3512,17,2021-S01,"647080,00","581,00","17576,00","89,79","3,31","2716,20",0
3513,17,2021-S02,"647080,00","696,00","17030,00","107,56","4,09","2631,82",0
3514,17,2021-S03,"647080,00","810,00","18006,00","125,18","4,50","2782,65",0
3515,17,2021-S04,"647080,00","892,00","20982,00","137,85","4,25","3242,57",0
3516,18,2020-S53,"296404,00","623,00","6334,00","210,19","9,84","2136,95",0
3517,18,2021-S01,"296404,00","800,00","7925,00","269,90","10,09","2673,72",0
3518,18,2021-S02,"296404,00","620,00","7763,00","209,17","7,99","2619,06",0
3519,18,2021-S03,"296404,00","608,00","7352,00","205,13","8,27","2480,40",0
3520,18,2021-S04,"296404,00","507,00","7535,00","171,05","6,73","2542,14",0
3521,19,2020-S53,"240336,00","205,00","4920,00","85,30","4,17","2047,13",0
3522,19,2021-S01,"240336,00","298,00","5665,00","123,99","5,26","2357,12",0
3523,19,2021-S02,"240336,00","323,00","5807,00","134,40","5,56","2416,20",0
3524,19,2021-S03,"240336,00","433,00","6209,00","180,16","6,97","2583,47",0
3525,19,2021-S04,"240336,00","434,00","7278,00","180,58","5,96","3028,26",0
3526,21,2020-S53,"532886,00","1154,00","15494,00","216,56","7,45","2907,56",0
3527,21,2021-S01,"532886,00","1327,00","17279,00","249,02","7,68","3242,53",0
3528,21,2021-S02,"532886,00","1081,00","14860,00","202,86","7,27","2788,59",0
3529,21,2021-S03,"532886,00","1071,00","14998,00","200,98","7,14","2814,49",0
3530,21,2021-S04,"532886,00","1034,00","15814,00","194,04","6,54","2967,61",0
3531,22,2020-S53,"596186,00","290,00","11620,00","48,64","2,50","1949,06",0
3532,22,2021-S01,"596186,00","357,00","12982,00","59,88","2,75","2177,51",0
3533,22,2021-S02,"596186,00","335,00","12348,00","56,19","2,71","2071,17",0
3534,22,2021-S03,"596186,00","337,00","12107,00","56,53","2,78","2030,74",0
3535,22,2021-S04,"596186,00","354,00","12315,00","59,38","2,87","2065,63",0
3536,23,2020-S53,"116270,00","80,00","2542,00","68,81","3,15","2186,29",0
3537,23,2021-S01,"116270,00","145,00","3231,00","124,71","4,49","2778,88",0
3538,23,2021-S02,"116270,00","163,00","3210,00","140,19","5,08","2760,82",0
3539,23,2021-S03,"116270,00","239,00","3132,00","205,56","7,63","2693,73",0
3540,23,2021-S04,"116270,00","243,00","4187,00","209,00","5,80","3601,10",0
3541,24,2020-S53,"408393,00","246,00","7422,00","60,24","3,31","1817,37",0
3542,24,2021-S01,"408393,00","397,00","9249,00","97,21","4,29","2264,73",0
3543,24,2021-S02,"408393,00","569,00","9734,00","139,33","5,85","2383,49",0
3544,24,2021-S03,"408393,00","725,00","11238,00","177,53","6,45","2751,76",0
3545,24,2021-S04,"408393,00","1088,00","13081,00","266,41","8,32","3203,04",0
3546,25,2020-S53,"539449,00","1585,00","15319,00","293,82","10,35","2839,75",0
3547,25,2021-S01,"539449,00","1762,00","16656,00","326,63","10,58","3087,59",0
3548,25,2021-S02,"539449,00","1362,00","14132,00","252,48","9,64","2619,71",0
3549,25,2021-S03,"539449,00","1423,00","14976,00","263,79","9,50","2776,17",0
3550,25,2021-S04,"539449,00","1187,00","15037,00","220,04","7,89","2787,47",0
3551,26,2020-S53,"520560,00","926,00","11562,00","177,89","8,01","2221,07",0
3552,26,2021-S01,"520560,00","1298,00","13312,00","249,35","9,75","2557,25",0
3553,26,2021-S02,"520560,00","1273,00","13395,00","244,54","9,50","2573,19",0
3554,26,2021-S03,"520560,00","1510,00","13795,00","290,07","10,95","2650,03",0
3555,26,2021-S04,"520560,00","1423,00","15871,00","273,36","8,97","3048,83",0
3556,27,2020-S53,"600687,00","470,00","10624,00","78,24","4,42","1768,64",0
3557,27,2021-S01,"600687,00","666,00","12231,00","110,87","5,45","2036,17",0
3558,27,2021-S02,"600687,00","633,00","11121,00","105,38","5,69","1851,38",0
3559,27,2021-S03,"600687,00","670,00","11577,00","111,54","5,79","1927,29",0
3560,27,2021-S04,"600687,00","913,00","12571,00","151,99","7,26","2092,77",0
3561,28,2020-S53,"429425,00","426,00","8620,00","99,20","4,94","2007,34",0
3562,28,2021-S01,"429425,00","591,00","9846,00","137,63","6,00","2292,83",0
3563,28,2021-S02,"429425,00","519,00","9572,00","120,86","5,42","2229,03",0
3564,28,2021-S03,"429425,00","603,00","9264,00","140,42","6,51","2157,30",0
3565,28,2021-S04,"429425,00","682,00","10256,00","158,82","6,65","2388,31",0
3566,29,2020-S53,"906554,00","380,00","18586,00","41,92","2,04","2050,18",0
3567,29,2021-S01,"906554,00","610,00","21464,00","67,29","2,84","2367,65",0
3568,29,2021-S02,"906554,00","505,00","19357,00","55,71","2,61","2135,23",0
3569,29,2021-S03,"906554,00","630,00","18978,00","69,49","3,32","2093,42",0
3570,29,2021-S04,"906554,00","586,00","21337,00","64,64","2,75","2353,64",0
3571,2A,2020-S53,"162421,00","98,00","8687,00","60,34","1,13","5348,45",0
3572,2A,2021-S01,"162421,00","113,00","6524,00","69,57","1,73","4016,72",0
3573,2A,2021-S02,"162421,00","105,00","6685,00","64,65","1,57","4115,85",0
3574,2A,2021-S03,"162421,00","87,00","6101,00","53,56","1,43","3756,29",0
3575,2A,2021-S04,"162421,00","101,00","6440,00","62,18","1,57","3965,00",0
3576,2B,2020-S53,"182258,00","121,00","8889,00","66,39","1,36","4877,15",0
3577,2B,2021-S01,"182258,00","137,00","6591,00","75,17","2,08","3616,30",0
3578,2B,2021-S02,"182258,00","157,00","7220,00","86,14","2,17","3961,42",0
3579,2B,2021-S03,"182258,00","229,00","7147,00","125,65","3,20","3921,36",0
3580,2B,2021-S04,"182258,00","250,00","8043,00","137,17","3,11","4412,98",0
3581,30,2020-S53,"748468,00","1025,00","19150,00","136,95","5,35","2558,56",0
3582,30,2021-S01,"748468,00","1386,00","21740,00","185,18","6,38","2904,60",0
3583,30,2021-S02,"748468,00","1412,00","21663,00","188,65","6,52","2894,31",0
3584,30,2021-S03,"748468,00","1690,00","22720,00","225,79","7,44","3035,53",0
3585,30,2021-S04,"748468,00","1759,00","24774,00","235,01","7,10","3309,96",0
3586,31,2020-S53,"1400935,00","1309,00","36293,00","93,44","3,61","2590,63",0
3587,31,2021-S01,"1400935,00","2194,00","40330,00","156,61","5,44","2878,79",0
3588,31,2021-S02,"1400935,00","2582,00","40486,00","184,31","6,38","2889,93",0
3589,31,2021-S03,"1400935,00","2922,00","43593,00","208,57","6,70","3111,71",0
3590,31,2021-S04,"1400935,00","3560,00","51186,00","254,12","6,96","3653,70",0
3591,32,2020-S53,"190040,00","200,00","4028,00","105,24","4,97","2119,55",0
3592,32,2021-S01,"190040,00","289,00","4823,00","152,07","5,99","2537,89",0
3593,32,2021-S02,"190040,00","242,00","5026,00","127,34","4,81","2644,71",0
3594,32,2021-S03,"190040,00","326,00","4866,00","171,54","6,70","2560,51",0
3595,32,2021-S04,"190040,00","341,00","5663,00","179,44","6,02","2979,90",0
3596,33,2020-S53,"1633440,00","1519,00","40645,00","92,99","3,74","2488,31",0
3597,33,2021-S01,"1633440,00","2359,00","40658,00","144,42","5,80","2489,10",0
3598,33,2021-S02,"1633440,00","2537,00","43623,00","155,32","5,82","2670,62",0
3599,33,2021-S03,"1633440,00","2690,00","45370,00","164,68","5,93","2777,57",0
3600,33,2021-S04,"1633440,00","2730,00","49644,00","167,13","5,50","3039,23",0
3601,34,2020-S53,"1176145,00","1172,00","32393,00","99,65","3,62","2754,17",0
3602,34,2021-S01,"1176145,00","1970,00","36922,00","167,50","5,34","3139,24",0
3603,34,2021-S02,"1176145,00","1885,00","35250,00","160,27","5,35","2997,08",0
3604,34,2021-S03,"1176145,00","1885,00","35880,00","160,27","5,25","3050,64",0
3605,34,2021-S04,"1176145,00","1868,00","38495,00","158,82","4,85","3272,98",0
3606,35,2020-S53,"1082073,00","769,00","24913,00","71,07","3,09","2302,34",0
3607,35,2021-S01,"1082073,00","1311,00","26877,00","121,16","4,88","2483,84",0
3608,35,2021-S02,"1082073,00","1578,00","27037,00","145,83","5,84","2498,63",0
3609,35,2021-S03,"1082073,00","1541,00","27475,00","142,41","5,61","2539,11",0
3610,35,2021-S04,"1082073,00","1681,00","29239,00","155,35","5,75","2702,13",0
3611,36,2020-S53,"217139,00","258,00","4030,00","118,82","6,40","1855,95",0
3612,36,2021-S01,"217139,00","426,00","5515,00","196,19","7,72","2539,85",0
3613,36,2021-S02,"217139,00","508,00","6036,00","233,95","8,42","2779,79",0
3614,36,2021-S03,"217139,00","541,00","6470,00","249,15","8,36","2979,66",0
3615,36,2021-S04,"217139,00","469,00","6581,00","215,99","7,13","3030,78",0
3616,37,2020-S53,"605380,00","572,00","14819,00","94,49","3,86","2447,88",0
3617,37,2021-S01,"605380,00","946,00","15281,00","156,27","6,19","2524,20",0
3618,37,2021-S02,"605380,00","1035,00","15068,00","170,97","6,87","2489,02",0
3619,37,2021-S03,"605380,00","1066,00","16791,00","176,09","6,35","2773,63",0
3620,37,2021-S04,"605380,00","1183,00","17251,00","195,41","6,86","2849,62",0
3621,38,2020-S53,"1264979,00","2159,00","31309,00","170,67","6,90","2475,06",0
3622,38,2021-S01,"1264979,00","2755,00","30366,00","217,79","9,07","2400,51",0
3623,38,2021-S02,"1264979,00","2386,00","27979,00","188,62","8,53","2211,82",0
3624,38,2021-S03,"1264979,00","2715,00","28317,00","214,63","9,59","2238,54",0
3625,38,2021-S04,"1264979,00","2651,00","30966,00","209,57","8,56","2447,95",0
3626,39,2020-S53,"257849,00","853,00","7541,00","330,81","11,31","2924,58",0
3627,39,2021-S01,"257849,00","904,00","9035,00","350,59","10,01","3503,99",0
3628,39,2021-S02,"257849,00","780,00","8183,00","302,50","9,53","3173,56",0
3629,39,2021-S03,"257849,00","763,00","8329,00","295,91","9,16","3230,19",0
3630,39,2021-S04,"257849,00","749,00","8226,00","290,48","9,11","3190,24",0
3631,40,2020-S53,"411979,00","587,00","10104,00","142,48","5,81","2452,55",0
3632,40,2021-S01,"411979,00","673,00","11278,00","163,36","5,97","2737,52",0
3633,40,2021-S02,"411979,00","689,00","10458,00","167,24","6,59","2538,48",0
3634,40,2021-S03,"411979,00","828,00","11082,00","200,98","7,47","2689,94",0
3635,40,2021-S04,"411979,00","981,00","13822,00","238,12","7,10","3355,03",0
3636,41,2020-S53,"327835,00","396,00","6801,00","120,79","5,82","2074,52",0
3637,41,2021-S01,"327835,00","424,00","6932,00","129,33","6,12","2114,48",0
3638,41,2021-S02,"327835,00","427,00","6989,00","130,25","6,11","2131,86",0
3639,41,2021-S03,"327835,00","473,00","6951,00","144,28","6,80","2120,27",0
3640,41,2021-S04,"327835,00","491,00","7361,00","149,77","6,67","2245,34",0
3641,42,2020-S53,"764737,00","1289,00","18259,00","168,55","7,06","2387,62",0
3642,42,2021-S01,"764737,00","1601,00","20375,00","209,35","7,86","2664,31",0
3643,42,2021-S02,"764737,00","1730,00","25138,00","226,22","6,88","3287,14",0
3644,42,2021-S03,"764737,00","1898,00","22507,00","248,19","8,43","2943,10",0
3645,42,2021-S04,"764737,00","1721,00","24277,00","225,04","7,09","3174,56",0
3646,43,2020-S53,"226901,00","329,00","4596,00","145,00","7,16","2025,55",0
3647,43,2021-S01,"226901,00","521,00","4817,00","229,62","10,82","2122,95",0
3648,43,2021-S02,"226901,00","531,00","5340,00","234,02","9,94","2353,45",0
3649,43,2021-S03,"226901,00","594,00","5511,00","261,79","10,78","2428,81",0
3650,43,2021-S04,"226901,00","436,00","5298,00","192,15","8,23","2334,94",0
3651,44,2020-S53,"1437137,00","1272,00","34887,00","88,51","3,65","2427,53",0
3652,44,2021-S01,"1437137,00","1699,00","35502,00","118,22","4,79","2470,33",0
3653,44,2021-S02,"1437137,00","1797,00","33111,00","125,04","5,43","2303,96",0
3654,44,2021-S03,"1437137,00","2092,00","36013,00","145,57","5,81","2505,89",0
3655,44,2021-S04,"1437137,00","2195,00","39302,00","152,73","5,58","2734,74",0
3656,45,2020-S53,"682890,00","856,00","15984,00","125,35","5,36","2340,64",0
3657,45,2021-S01,"682890,00","1142,00","17644,00","167,23","6,47","2583,73",0
3658,45,2021-S02,"682890,00","1218,00","17085,00","178,36","7,13","2501,87",0
3659,45,2021-S03,"682890,00","1540,00","19506,00","225,51","7,90","2856,39",0
3660,45,2021-S04,"682890,00","1467,00","18525,00","214,82","7,92","2712,74",0
3661,46,2020-S53,"173166,00","121,00","3270,00","69,88","3,70","1888,36",0
3662,46,2021-S01,"173166,00","188,00","3629,00","108,57","5,18","2095,68",0
3663,46,2021-S02,"173166,00","199,00","3497,00","114,92","5,69","2019,45",0
3664,46,2021-S03,"173166,00","183,00","3526,00","105,68","5,19","2036,20",0
3665,46,2021-S04,"173166,00","218,00","4345,00","125,89","5,02","2509,15",0
3666,47,2020-S53,"330336,00","317,00","7161,00","95,96","4,43","2167,79",0
3667,47,2021-S01,"330336,00","459,00","7585,00","138,95","6,05","2296,15",0
3668,47,2021-S02,"330336,00","575,00","7963,00","174,07","7,22","2410,58",0
3669,47,2021-S03,"330336,00","523,00","7849,00","158,32","6,66","2376,07",0
3670,47,2021-S04,"330336,00","418,00","9017,00","126,54","4,64","2729,64",0
3671,48,2020-S53,"76286,00","102,00","1370,00","133,71","7,45","1795,87",0
3672,48,2021-S01,"76286,00","164,00","2003,00","214,98","8,19","2625,65",0
3673,48,2021-S02,"76286,00","173,00","1726,00","226,78","10,02","2262,54",0
3674,48,2021-S03,"76286,00","239,00","2225,00","313,29","10,74","2916,66",0
3675,48,2021-S04,"76286,00","176,00","2428,00","230,71","7,25","3182,76",0
3676,49,2020-S53,"815881,00","902,00","18371,00","110,56","4,91","2251,68",0
3677,49,2021-S01,"815881,00","953,00","20213,00","116,81","4,71","2477,44",0
3678,49,2021-S02,"815881,00","1048,00","19739,00","128,45","5,31","2419,35",0
3679,49,2021-S03,"815881,00","1292,00","20713,00","158,36","6,24","2538,73",0
3680,49,2021-S04,"815881,00","1436,00","22352,00","176,01","6,42","2739,62",0
3681,50,2020-S53,"490669,00","493,00","9462,00","100,48","5,21","1928,39",0
3682,50,2021-S01,"490669,00","762,00","12331,00","155,30","6,18","2513,10",0
3683,50,2021-S02,"490669,00","933,00","13355,00","190,15","6,99","2721,79",0
3684,50,2021-S03,"490669,00","1187,00","14834,00","241,91","8,00","3023,22",0
3685,50,2021-S04,"490669,00","927,00","15351,00","188,93","6,04","3128,59",0
3686,51,2020-S53,"563823,00","1145,00","15541,00","203,08","7,37","2756,36",0
3687,51,2021-S01,"563823,00","1279,00","17686,00","226,84","7,23","3136,80",0
3688,51,2021-S02,"563823,00","1145,00","16553,00","203,08","6,92","2935,85",0
3689,51,2021-S03,"563823,00","1193,00","16941,00","211,59","7,04","3004,67",0
3690,51,2021-S04,"563823,00","1127,00","18546,00","199,89","6,08","3289,33",0
3691,52,2020-S53,"169250,00","464,00","4683,00","274,15","9,91","2766,91",0
3692,52,2021-S01,"169250,00","553,00","5756,00","326,74","9,61","3400,89",0
3693,52,2021-S02,"169250,00","388,00","4929,00","229,25","7,87","2912,26",0
3694,52,2021-S03,"169250,00","426,00","4836,00","251,70","8,81","2857,31",0
3695,52,2021-S04,"169250,00","352,00","4643,00","207,98","7,58","2743,28",0
3696,53,2020-S53,"305365,00","287,00","5976,00","93,99","4,80","1957,00",0
3697,53,2021-S01,"305365,00","440,00","6600,00","144,09","6,67","2161,35",0
3698,53,2021-S02,"305365,00","512,00","6211,00","167,67","8,24","2033,96",0
3699,53,2021-S03,"305365,00","397,00","6780,00","130,01","5,86","2220,29",0
3700,53,2021-S04,"305365,00","523,00","7170,00","171,27","7,29","2348,01",0
3701,54,2020-S53,"730398,00","1817,00","26381,00","248,77","6,89","3611,87",0
3702,54,2021-S01,"730398,00","1868,00","25978,00","255,75","7,19","3556,69",0
3703,54,2021-S02,"730398,00","1589,00","22626,00","217,55","7,02","3097,76",0
3704,54,2021-S03,"730398,00","1736,00","23348,00","237,68","7,44","3196,61",0
3705,54,2021-S04,"730398,00","1712,00","27505,00","234,39","6,22","3765,76",0
3706,55,2020-S53,"181641,00","441,00","5176,00","242,79","8,52","2849,58",0
3707,55,2021-S01,"181641,00","512,00","5730,00","281,87","8,94","3154,57",0
3708,55,2021-S02,"181641,00","419,00","5119,00","230,67","8,19","2818,20",0
3709,55,2021-S03,"181641,00","451,00","5143,00","248,29","8,77","2831,41",0
3710,55,2021-S04,"181641,00","316,00","5637,00","173,97","5,61","3103,37",0
3711,56,2020-S53,"755566,00","466,00","14776,00","61,68","3,15","1955,62",0
3712,56,2021-S01,"755566,00","514,00","15081,00","68,03","3,41","1995,99",0
3713,56,2021-S02,"755566,00","689,00","14635,00","91,19","4,71","1936,96",0
3714,56,2021-S03,"755566,00","710,00","15427,00","93,97","4,60","2041,78",0
3715,56,2021-S04,"755566,00","811,00","16887,00","107,34","4,80","2235,01",0
3716,57,2020-S53,"1035866,00","2358,00","32186,00","227,64","7,33","3107,16",0
3717,57,2021-S01,"1035866,00","2407,00","36307,00","232,37","6,63","3504,99",0
3718,57,2021-S02,"1035866,00","1949,00","27759,00","188,15","7,02","2679,79",0
3719,57,2021-S03,"1035866,00","2229,00","27567,00","215,18","8,09","2661,25",0
3720,57,2021-S04,"1035866,00","2720,00","34267,00","262,58","7,94","3308,05",0
3721,58,2020-S53,"199596,00","391,00","4876,00","195,90","8,02","2442,93",0
3722,58,2021-S01,"199596,00","524,00","6078,00","262,53","8,62","3045,15",0
3723,58,2021-S02,"199596,00","490,00","6126,00","245,50","8,00","3069,20",0
3724,58,2021-S03,"199596,00","484,00","5938,00","242,49","8,15","2975,01",0
3725,58,2021-S04,"199596,00","372,00","6033,00","186,38","6,17","3022,61",0
3726,59,2020-S53,"2588988,00","3229,00","65887,00","124,72","4,90","2544,89",0
3727,59,2021-S01,"2588988,00","4302,00","76206,00","166,17","5,65","2943,47",0
3728,59,2021-S02,"2588988,00","4310,00","76738,00","166,47","5,62","2964,02",0
3729,59,2021-S03,"2588988,00","4608,00","74750,00","177,98","6,16","2887,23",0
3730,59,2021-S04,"2588988,00","4955,00","83553,00","191,39","5,93","3227,25",0
3731,60,2020-S53,"825077,00","966,00","16149,00","117,08","5,98","1957,27",0
3732,60,2021-S01,"825077,00","1492,00","19748,00","180,83","7,56","2393,47",0
3733,60,2021-S02,"825077,00","1803,00","22293,00","218,53","8,09","2701,93",0
3734,60,2021-S03,"825077,00","1875,00","24033,00","227,25","7,80","2912,82",0
3735,60,2021-S04,"825077,00","1963,00","24546,00","237,92","8,00","2974,99",0
3736,61,2020-S53,"276903,00","520,00","7672,00","187,79","6,78","2770,65",0
3737,61,2021-S01,"276903,00","535,00","9474,00","193,21","5,65","3421,41",0
3738,61,2021-S02,"276903,00","563,00","7855,00","203,32","7,17","2836,73",0
3739,61,2021-S03,"276903,00","495,00","7879,00","178,76","6,28","2845,40",0
3740,61,2021-S04,"276903,00","479,00","7473,00","172,98","6,41","2698,78",0
3741,62,2020-S53,"1452778,00","1891,00","31807,00","130,16","5,95","2189,39",0
3742,62,2021-S01,"1452778,00","2353,00","36935,00","161,97","6,37","2542,37",0
3743,62,2021-S02,"1452778,00","2398,00","37361,00","165,06","6,42","2571,69",0
3744,62,2021-S03,"1452778,00","2657,00","40130,00","182,89","6,62","2762,29",0
3745,62,2021-S04,"1452778,00","2488,00","42211,00","171,26","5,89","2905,54",0
3746,63,2020-S53,"660240,00","1103,00","18496,00","167,06","5,96","2801,41",0
3747,63,2021-S01,"660240,00","1350,00","18177,00","204,47","7,43","2753,09",0
3748,63,2021-S02,"660240,00","1236,00","18601,00","187,20","6,64","2817,31",0
3749,63,2021-S03,"660240,00","1454,00","19976,00","220,22","7,28","3025,57",0
3750,63,2021-S04,"660240,00","1290,00","20402,00","195,38","6,32","3090,09",0
3751,64,2020-S53,"683169,00","693,00","18181,00","101,44","3,81","2661,27",0
3752,64,2021-S01,"683169,00","927,00","20214,00","135,69","4,59","2958,86",0
3753,64,2021-S02,"683169,00","860,00","18663,00","125,88","4,61","2731,83",0
3754,64,2021-S03,"683169,00","955,00","18979,00","139,79","5,03","2778,08",0
3755,64,2021-S04,"683169,00","889,00","19886,00","130,13","4,47","2910,85",0
3756,65,2020-S53,"226839,00","410,00","5657,00","180,74","7,25","2493,84",0
3757,65,2021-S01,"226839,00","428,00","6541,00","188,68","6,54","2883,54",0
3758,65,2021-S02,"226839,00","376,00","5582,00","165,76","6,74","2460,78",0
3759,65,2021-S03,"226839,00","403,00","5557,00","177,66","7,25","2449,75",0
3760,65,2021-S04,"226839,00","290,00","5967,00","127,84","4,86","2630,50",0
