,dep,semaine,pop,P,T,Ti,Tp,Td,cl_age90
439,32,2020-S23,"190040,00","3,00","560,00","1,58","0,54","294,67",0
440,32,2020-S24,"190040,00","4,00","454,00","2,10","0,88","238,90",0
441,32,2020-S25,"190040,00","0,00","392,00","0,00","0,00","206,27",0
442,32,2020-S26,"190040,00","2,00","384,00","1,05","0,52","202,06",0
443,33,2020-S23,"1633440,00","9,00","3870,00","0,55","0,23","236,92",0
444,33,2020-S24,"1633440,00","18,00","3647,00","1,10","0,49","223,27",0
445,33,2020-S25,"1633440,00","27,00","3626,00","1,65","0,74","221,99",0
446,33,2020-S26,"1633440,00","17,00","4125,00","1,04","0,41","252,53",0
447,34,2020-S23,"1176145,00","11,00","6411,00","0,94","0,17","545,09",0
448,34,2020-S24,"1176145,00","16,00","7045,00","1,36","0,23","598,99",0
449,34,2020-S25,"1176145,00","13,00","6385,00","1,11","0,20","542,88",0
450,34,2020-S26,"1176145,00","22,00","6323,00","1,87","0,35","537,60",0
451,35,2020-S23,"1082073,00","11,00","2072,00","1,02","0,53","191,48",0
452,35,2020-S24,"1082073,00","5,00","1972,00","0,46","0,25","182,24",0
453,35,2020-S25,"1082073,00","3,00","1776,00","0,28","0,17","164,13",0
454,35,2020-S26,"1082073,00","6,00","1854,00","0,55","0,32","171,34",0
455,36,2020-S23,"217139,00","4,00","263,00","1,84","1,52","121,12",0
456,36,2020-S24,"217139,00","0,00","290,00","0,00","0,00","133,56",0
457,36,2020-S25,"217139,00","1,00","306,00","0,46","0,33","140,92",0
458,36,2020-S26,"217139,00","4,00","496,00","1,84","0,81","228,43",0
459,37,2020-S23,"605380,00","9,00","2027,00","1,49","0,44","334,83",0
460,37,2020-S24,"605380,00","8,00","1893,00","1,32","0,42","312,70",0
461,37,2020-S25,"605380,00","8,00","1818,00","1,32","0,44","300,31",0
462,37,2020-S26,"605380,00","8,00","1923,00","1,32","0,42","317,65",0
463,38,2020-S23,"1264979,00","17,00","2933,00","1,34","0,58","231,86",0
464,38,2020-S24,"1264979,00","29,00","3010,00","2,29","0,96","237,95",0
465,38,2020-S25,"1264979,00","15,00","2949,00","1,19","0,51","233,13",0
466,38,2020-S26,"1264979,00","11,00","3706,00","0,87","0,30","292,97",0
467,39,2020-S23,"257849,00","1,00","718,00","0,39","0,14","278,46",0
468,39,2020-S24,"257849,00","4,00","693,00","1,55","0,58","268,76",0
469,39,2020-S25,"257849,00","5,00","681,00","1,94","0,73","264,11",0
470,39,2020-S26,"257849,00","8,00","718,00","3,10","1,11","278,46",0
471,40,2020-S23,"411979,00","6,00","1480,00","1,46","0,41","359,24",0
472,40,2020-S24,"411979,00","5,00","1317,00","1,21","0,38","319,68",0
473,40,2020-S25,"411979,00","2,00","863,00","0,49","0,23","209,48",0
474,40,2020-S26,"411979,00","7,00","766,00","1,70","0,91","185,93",0
475,41,2020-S23,"327835,00","3,00","616,00","0,92","0,49","187,90",0
